geo_code,variable,value
E7P,population,3471.0
E7P,average_age,44.7
E7P,median_income,67500.0
E8A,population,3644.0
E8A,average_age,45.6
E8A,median_income,64000.0
E8B,population,2305.0
E8B,average_age,45.6
E8B,median_income,58400.0
E8C,population,3699.0
E8C,average_age,50.6
E8C,median_income,54800.0
E8E,population,5117.0
E8E,average_age,47.6
E8E,median_income,67500.0
E8G,population,2468.0
E8G,average_age,54.5
E8G,median_income,46000.0
E8J,population,5624.0
E8J,average_age,49.0
E8J,median_income,66500.0
E8K,population,8712.0
E8K,average_age,48.2
E8K,median_income,67500.0
E8L,population,2256.0
E8L,average_age,50.4
E8L,median_income,58400.0
E8M,population,2021.0
E8M,average_age,47.4
E8M,median_income,56400.0
E8N,population,2396.0
E8N,average_age,52.5
E8N,median_income,50000.0
E8P,population,3408.0
E8P,average_age,50.6
E8P,median_income,63200.0
E8R,population,3125.0
E8R,average_age,50.2
E8R,median_income,53200.0
E8S,population,4610.0
E8S,average_age,48.8
E8S,median_income,63200.0
E8T,population,5713.0
E8T,average_age,50.7
E8T,median_income,60400.0
E9A,population,2229.0
E9A,average_age,50.8
E9A,median_income,67000.0
E9B,population,2274.0
E9B,average_age,47.3
E9B,median_income,63200.0
E9C,population,2149.0
E9C,average_age,50.6
E9C,median_income,53200.0
E9E,population,3870.0
E9E,average_age,47.6
E9E,median_income,61600.0
E9G,population,5297.0
E9G,average_age,45.6
E9G,median_income,59200.0
E9H,population,2931.0
E9H,average_age,49.9
E9H,median_income,60000.0
G0A,population,83411.0
G0A,average_age,43.9
G0A,median_income,81000.0
G0C,population,45955.0
G0C,average_age,49.1
G0C,median_income,61600.0
G0E,population,4630.0
G0E,average_age,53.0
G0E,median_income,55200.0
G0G,population,16315.0
G0G,average_age,41.7
G0G,median_income,93000.0
G0H,population,10538.0
G0H,average_age,45.5
G0H,median_income,67000.0
G0J,population,29007.0
G0J,average_age,48.4
G0J,median_income,54800.0
G0K,population,11722.0
G0K,average_age,44.6
G0K,median_income,65000.0
G0L,population,60937.0
G0L,average_age,47.1
G0L,median_income,63200.0
G0M,population,34401.0
G0M,average_age,43.5
G0M,median_income,66500.0
G0N,population,19994.0
G0N,average_age,46.3
G0N,median_income,63600.0
G0P,population,6786.0
G0P,average_age,43.6
G0P,median_income,65500.0
G0R,population,84338.0
G0R,average_age,46.2
G0R,median_income,66000.0
G0S,population,72494.0
G0S,average_age,41.7
G0S,median_income,75500.0
G0T,population,13560.0
G0T,average_age,49.3
G0T,median_income,62800.0
G0V,population,18374.0
G0V,average_age,43.6
G0V,median_income,76500.0
G0W,population,36541.0
G0W,average_age,42.1
G0W,median_income,73500.0
G0X,population,60486.0
G0X,average_age,46.0
G0X,median_income,65000.0
G0Y,population,9320.0
G0Y,average_age,47.6
G0Y,median_income,62400.0
G0Z,population,8974.0
G0Z,average_age,42.2
G0Z,median_income,64500.0
G1B,population,16698.0
G1B,average_age,40.0
G1B,median_income,100000.0
G1C,population,36215.0
G1C,average_age,45.8
G1C,median_income,80000.0
G1E,population,27753.0
G1E,average_age,45.1
G1E,median_income,60400.0
G1G,population,24975.0
G1G,average_age,44.0
G1G,median_income,78000.0
G1H,population,29618.0
G1H,average_age,47.2
G1H,median_income,60800.0
G1J,population,23325.0
G1J,average_age,43.0
G1J,median_income,48400.0
G1K,population,18911.0
G1K,average_age,42.8
G1K,median_income,50000.0
G1L,population,22024.0
G1L,average_age,42.5
G1L,median_income,49200.0
G1M,population,20770.0
G1M,average_age,47.0
G1M,median_income,59600.0
G1N,population,8400.0
G1N,average_age,42.2
G1N,median_income,48000.0
G1P,population,16538.0
G1P,average_age,44.4
G1P,median_income,64000.0
G1R,population,16423.0
G1R,average_age,46.9
G1R,median_income,54400.0
G1S,population,25912.0
G1S,average_age,49.6
G1S,median_income,70500.0
G1T,population,6797.0
G1T,average_age,47.5
G1T,median_income,133000.0
G1V,population,23629.0
G1V,average_age,41.0
G1V,median_income,54400.0
G1W,population,22499.0
G1W,average_age,44.8
G1W,median_income,79500.0
G1X,population,26746.0
G1X,average_age,44.2
G1X,median_income,72000.0
G1Y,population,12738.0
